filename,width,height,class,xmin,ymin,xmax,ymax
IMG20240417213258_jpg.rf.313c63d2b05ff0eb9d879fe464f567e7.jpg,640,640,Yes,188,320,287,521
IMG20240417215915_jpg.rf.30c9c2d54b46997bef358f983dfd5660.jpg,640,640,Please,218,303,504,640
IMG20240417211736_jpg.rf.31298ae7bda2e30ec29f7eb333a77ffd.jpg,640,640,Help,136,272,356,599
IMG20240417215055_jpg.rf.31ccc13bb7534fc72f4545fba0a1d535.jpg,640,640,Please,220,416,427,628
Yes-bbf89ffc-b3d7-11ee-9109-d480484cd0f9_jpg.rf.3066cab3318702d0e06fe427a7a6bd45.jpg,640,640,No,201,197,398,455
IMG20240417213123_jpg.rf.3157d1b02b5241b45f2e14c31e9a848a.jpg,640,640,No,264,201,471,367
IMG20240422121219_jpg.rf.310ed141fa92d7b6ad511a9af9a7029e.jpg,640,640,Danger,206,250,550,556
IMG20240417214955_jpg.rf.3196639cdf16565756f89d6e5a6c59b4.jpg,640,640,No,287,247,430,399
IMG20240417215632_jpg.rf.302624e04d089445a48575aed88c47b3.jpg,640,640,No,252,176,451,424
IMG20240422120907_jpg.rf.30ca94492144e775e8e1ce3d546827ee.jpg,640,640,I,204,82,449,540
IMG20240419153710_jpg.rf.312bcc0509b432e0df5ef9fb4a6ed0e0.jpg,640,640,Thanks,145,144,422,586
IMG20240417215328_jpg.rf.30990dbebfd1267e70ffbea288e0b18c.jpg,640,640,Hello,161,30,404,457
IMG20240417214543_jpg.rf.3125d8fe9a048f07dced860105517278.jpg,640,640,Thanks,245,172,363,369
IMG20240417215620_jpg.rf.30a72c106d173c20dc20cecaa6a56b9b.jpg,640,640,Thanks,318,128,490,494
IMG20240422121241_jpg.rf.31cc92954572ff9c6a54d67dd7189a13.jpg,640,640,Danger,233,220,559,636
IMG20240417212907_jpg.rf.2fe5bcd69a47d9ab01ece49c64f5932b.jpg,640,640,Danger,296,233,541,564
IMG20240422121214_01_jpg.rf.304f2646910fe5859a83f050e713c211.jpg,640,640,Please,178,237,516,551
IMG_20240418_155148_jpg.rf.2fd4c1738c1d335e4648f721d6900bf9.jpg,640,640,Yes,421,267,640,523
IMG20240417215000_jpg.rf.2fd23ecbe1d38512f1d72fa8f09a26ba.jpg,640,640,Yes,249,245,395,428
IMG20240417212104_jpg.rf.2fd5ef0f90bb5caf4cb82b3ad872e3c1.jpg,640,640,Help,407,107,556,327
IMG_20240417_210920_jpg.rf.315b1a61711522d2a24acdd32e753426.jpg,640,640,I,104,228,332,640
IMG20240417212703_jpg.rf.3076eaeaaf8ec0f5610c7b7ab5bcc5a4.jpg,640,640,Want,75,211,228,496
IMG20240417211504_jpg.rf.3044461b5af11ecd78aeeed8a7a9da30.jpg,640,640,I,175,159,348,485
Want-4949b94a-b3d8-11ee-a5e5-d480484cd0f9_jpg.rf.3214b42daca25d8bf8d009f7b7cb9f0d.jpg,640,640,Want,246,140,432,435
I-ebfee238-b3d7-11ee-aa79-d480484cd0f9_jpg.rf.320a8ded6c5c475ffc6a9ce57ada7a29.jpg,640,640,I,276,283,378,547
IMG20240417214625_jpg.rf.3235589682e5a3bf47ab95b001251511.jpg,640,640,Help,263,295,422,534
IMG_20240418_155150_jpg.rf.314a19d3d19b32e9d5fae88152176e1e.jpg,640,640,Yes,426,115,640,380
IMG20240417214929_jpg.rf.31fd9495ad569abb5af6d43ea4149a27.jpg,640,640,No,162,153,342,380
IMG20240417214339_jpg.rf.31eca6eaaa5adfa92470fe980fa8337d.jpg,640,640,I,258,81,386,360
IMG20240422121017_jpg.rf.334317617c1effa3c405059b2d8c85a3.jpg,640,640,Hello,182,183,422,611
IMG20240417215359_jpg.rf.326409f02fed0faaadb0dbe70891000c.jpg,640,640,Water,197,126,413,582
IMG20240417215528_jpg.rf.32d3f86f94637f8482e579177212722f.jpg,640,640,Want,290,151,467,430
IMG20240417215812_jpg.rf.31e269c92dbc88548f96a27034bb6b88.jpg,640,640,Danger,223,303,445,564
IMG20240417212121_jpg.rf.32678d83171990800f4655e9ab93d74d.jpg,640,640,Help,286,45,640,553
IMG20240417215026_01_jpg.rf.32d753d05e9922478d622a8dfb4cdb57.jpg,640,640,Yes,109,242,234,516
Help-34f09048-b3d8-11ee-9a96-d480484cd0f9_jpg.rf.330f28964c9beded4fabe19095ecd841.jpg,640,640,Help,233,260,484,568
Yes-be6237aa-b3d7-11ee-88a2-d480484cd0f9_jpg.rf.33d90f675cd018d73152c6fae6e08821.jpg,640,640,No,217,306,467,612
IMG20240417215616_jpg.rf.32b3feffe76cc5c22621ccd4ecee97c1.jpg,640,640,Thanks,332,159,516,496
IMG20240419153638_jpg.rf.32dd3b5a36361a13a7271eb586ac471a.jpg,640,640,Hello,97,89,355,522
IMG20240417214310_jpg.rf.32503079e2b29967e89b0e93433f156d.jpg,640,640,Okay,226,45,356,354
IMG20240417213043_01_jpg.rf.33fa353bba125d467c86f1de63e95d7a.jpg,640,640,Thanks,414,207,518,454
IMG20240417213755_jpg.rf.33de93c2bd349a721a028b27e6bf6329.jpg,640,640,Okay,473,39,640,384
IMG20240417211559_jpg.rf.32cd2c09c846ce9d1bec873474a1823e.jpg,640,640,Please,216,323,398,563
